unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1644451200000,2022-02-10 00:00:00,DOT/USDT,21.95000000,22.48000000,20.49000000,20.51000000,9903304.31000000,213074605.83560000,328132
1644364800000,2022-02-09 00:00:00,DOT/USDT,21.66000000,22.24000000,21.05000000,21.94000000,5280116.45000000,114891147.54860000,169292
1644278400000,2022-02-08 00:00:00,DOT/USDT,22.36000000,23.19000000,21.06000000,21.66000000,10692150.43000000,234488489.33290000,367800
1644192000000,2022-02-07 00:00:00,DOT/USDT,21.91000000,22.70000000,21.39000000,22.35000000,9933306.22000000,220581220.08290000,367182
1644105600000,2022-02-06 00:00:00,DOT/USDT,21.32000000,21.93000000,20.78000000,21.91000000,4783912.16000000,102159037.65280000,197998
1644019200000,2022-02-05 00:00:00,DOT/USDT,20.49000000,22.29000000,20.30000000,21.33000000,8873091.18000000,190945390.97330000,369642
1643932800000,2022-02-04 00:00:00,DOT/USDT,18.91000000,20.53000000,18.71000000,20.48000000,9084604.77000000,177769349.92170000,275807
1643846400000,2022-02-03 00:00:00,DOT/USDT,18.77000000,18.96000000,17.97000000,18.92000000,6622008.64000000,122238026.59080000,223082
1643760000000,2022-02-02 00:00:00,DOT/USDT,19.57000000,20.58000000,18.53000000,18.76000000,8769960.78000000,172307776.65460000,334194
1643673600000,2022-02-01 00:00:00,DOT/USDT,19.38000000,20.00000000,19.15000000,19.57000000,8041127.34000000,157536671.67360000,270508
1643587200000,2022-01-31 00:00:00,DOT/USDT,18.15000000,19.61000000,17.12000000,19.37000000,8316149.90000000,151700168.25560000,266922
1643500800000,2022-01-30 00:00:00,DOT/USDT,18.75000000,19.00000000,17.80000000,18.15000000,5074979.97000000,93864670.27530000,162024
1643414400000,2022-01-29 00:00:00,DOT/USDT,18.34000000,19.06000000,18.08000000,18.74000000,4892745.70000000,90937096.60650000,164519
1643328000000,2022-01-28 00:00:00,DOT/USDT,18.12000000,18.49000000,17.36000000,18.34000000,7390664.94000000,132944555.83310000,230443
1643241600000,2022-01-27 00:00:00,DOT/USDT,18.08000000,18.42000000,17.14000000,18.12000000,9271719.10000000,164875191.18370000,265141
1643155200000,2022-01-26 00:00:00,DOT/USDT,18.32000000,20.06000000,17.51000000,18.08000000,14459131.31000000,272101060.86270000,441587
1643068800000,2022-01-25 00:00:00,DOT/USDT,18.02000000,19.05000000,17.36000000,18.31000000,9945213.12000000,181544754.50880000,285360
1642982400000,2022-01-24 00:00:00,DOT/USDT,18.81000000,18.82000000,15.83000000,18.02000000,20381626.57300000,345828687.90308000,535040
1642896000000,2022-01-23 00:00:00,DOT/USDT,18.27000000,19.20000000,17.73000000,18.81000000,11483380.21000000,212079989.02780000,338840
1642809600000,2022-01-22 00:00:00,DOT/USDT,19.66000000,20.16000000,16.17000000,18.27000000,23239217.06800000,424011444.45833800,629097
1642723200000,2022-01-21 00:00:00,DOT/USDT,23.01000000,23.48000000,19.04000000,19.67000000,17269209.91200000,371432669.91895000,599228
1642636800000,2022-01-20 00:00:00,DOT/USDT,24.06000000,25.62000000,22.84000000,23.01000000,6578668.82000000,160357989.39780000,278348
1642550400000,2022-01-19 00:00:00,DOT/USDT,25.15000000,25.30000000,23.68000000,24.05000000,6462252.41000000,157244747.27950000,241686
1642464000000,2022-01-18 00:00:00,DOT/USDT,25.69000000,26.07000000,24.24000000,25.15000000,7145666.21000000,178517774.89070000,275151
1642377600000,2022-01-17 00:00:00,DOT/USDT,27.70000000,27.76000000,25.10000000,25.69000000,8233269.46000000,217042645.22860000,326373
1642291200000,2022-01-16 00:00:00,DOT/USDT,27.60000000,28.47000000,27.26000000,27.70000000,7073389.72000000,197261377.66720000,327845
1642204800000,2022-01-15 00:00:00,DOT/USDT,27.75000000,28.41000000,26.83000000,27.60000000,5575781.94000000,153649373.07510000,274699
1642118400000,2022-01-14 00:00:00,DOT/USDT,25.79000000,27.88000000,25.53000000,27.75000000,9449831.90000000,254448275.94570000,421778
1642032000000,2022-01-13 00:00:00,DOT/USDT,27.33000000,27.68000000,25.71000000,25.79000000,7656681.93000000,204220516.39490000,327157
1641945600000,2022-01-12 00:00:00,DOT/USDT,25.56000000,27.58000000,25.45000000,27.32000000,7566219.50000000,201191355.56960000,319932
1641859200000,2022-01-11 00:00:00,DOT/USDT,23.73000000,26.00000000,23.48000000,25.56000000,9473674.68000000,235078342.33510000,309738
1641772800000,2022-01-10 00:00:00,DOT/USDT,24.63000000,25.22000000,22.43000000,23.72000000,11667129.55000000,276522625.56632000,391299
1641686400000,2022-01-09 00:00:00,DOT/USDT,23.98000000,25.32000000,23.67000000,24.63000000,7523995.26000000,184387901.22260000,270529
1641600000000,2022-01-08 00:00:00,DOT/USDT,24.90000000,25.54000000,23.12000000,23.99000000,9965873.23000000,244572660.78600000,377457
1641513600000,2022-01-07 00:00:00,DOT/USDT,26.72000000,26.86000000,24.24000000,24.90000000,14333874.43000000,363043454.68430000,559374
1641427200000,2022-01-06 00:00:00,DOT/USDT,26.73000000,27.36000000,25.50000000,26.72000000,11412775.24000000,299936557.65050000,449221
1641340800000,2022-01-05 00:00:00,DOT/USDT,28.69000000,30.39000000,25.05000000,26.72000000,14135011.01000000,401227022.41030000,653564
1641254400000,2022-01-04 00:00:00,DOT/USDT,30.10000000,30.58000000,28.66000000,28.69000000,11149885.08000000,331365102.55830000,471505
1641168000000,2022-01-03 00:00:00,DOT/USDT,29.69000000,30.88000000,28.62000000,30.11000000,11890491.01000000,353857200.14970000,584743
1641081600000,2022-01-02 00:00:00,DOT/USDT,28.60000000,30.62000000,27.82000000,29.69000000,8942930.92000000,262077782.30530000,385030
1640995200000,2022-01-01 00:00:00,DOT/USDT,26.67000000,28.65000000,26.66000000,28.60000000,5227230.45000000,143998965.10340000,209177
1640908800000,2021-12-31 00:00:00,DOT/USDT,27.54000000,28.12000000,26.24000000,26.66000000,9510787.97000000,258322507.23640000,364393
1640822400000,2021-12-30 00:00:00,DOT/USDT,26.81000000,28.42000000,26.17000000,27.54000000,7797319.16000000,213673335.74660000,297943
1640736000000,2021-12-29 00:00:00,DOT/USDT,27.84000000,28.96000000,26.48000000,26.82000000,9578005.60000000,267712846.40270000,395041
1640649600000,2021-12-28 00:00:00,DOT/USDT,30.96000000,30.97000000,27.46000000,27.83000000,15826935.59000000,460908150.64760000,585511
1640563200000,2021-12-27 00:00:00,DOT/USDT,31.32000000,32.78000000,30.83000000,30.97000000,8619790.22000000,274112089.62870000,482841
1640476800000,2021-12-26 00:00:00,DOT/USDT,28.86000000,31.74000000,28.27000000,31.32000000,9409786.98000000,281858170.17320000,517325
1640390400000,2021-12-25 00:00:00,DOT/USDT,28.14000000,29.12000000,27.94000000,28.84000000,3990671.82000000,113646965.00960000,162561
1640304000000,2021-12-24 00:00:00,DOT/USDT,29.16000000,29.67000000,27.83000000,28.14000000,6450389.72000000,186847375.34230000,298430
1640217600000,2021-12-23 00:00:00,DOT/USDT,27.23000000,29.81000000,26.73000000,29.16000000,10938539.93000000,306790205.36870000,529622
1640131200000,2021-12-22 00:00:00,DOT/USDT,25.16000000,28.23000000,24.98000000,27.22000000,10788179.43000000,288608060.39130000,477294
1640044800000,2021-12-21 00:00:00,DOT/USDT,24.07000000,25.59000000,23.74000000,25.16000000,7752931.61000000,191688314.81860000,257375
1639958400000,2021-12-20 00:00:00,DOT/USDT,24.78000000,25.01000000,23.27000000,24.07000000,7053641.28000000,170007060.20100000,252704
1639872000000,2021-12-19 00:00:00,DOT/USDT,25.48000000,25.86000000,24.63000000,24.78000000,5757699.98000000,145010019.38190000,213829
1639785600000,2021-12-18 00:00:00,DOT/USDT,24.64000000,25.72000000,24.21000000,25.49000000,7437623.45000000,186389544.41690000,259813
1639699200000,2021-12-17 00:00:00,DOT/USDT,26.02000000,26.21000000,24.16000000,24.64000000,10403388.65000000,261264454.22410000,335540
1639612800000,2021-12-16 00:00:00,DOT/USDT,27.14000000,27.84000000,25.55000000,26.02000000,14427194.90000000,387629608.95230000,472704
1639526400000,2021-12-15 00:00:00,DOT/USDT,26.14000000,28.03000000,24.27000000,27.14000000,13450685.93000000,353163805.85930000,472465
1639440000000,2021-12-14 00:00:00,DOT/USDT,25.97000000,26.71000000,25.00000000,26.15000000,10443455.71000000,271233551.25720000,346210
1639353600000,2021-12-13 00:00:00,DOT/USDT,29.54000000,29.87000000,25.54000000,25.96000000,10566935.28000000,291320002.88200000,407130
1639267200000,2021-12-12 00:00:00,DOT/USDT,27.82000000,30.12000000,27.31000000,29.54000000,5833358.42000000,167307239.66630000,262481
1639180800000,2021-12-11 00:00:00,DOT/USDT,26.44000000,28.18000000,25.81000000,27.81000000,8148503.07000000,224132666.45000000,295702
1639094400000,2021-12-10 00:00:00,DOT/USDT,26.91000000,28.43000000,25.71000000,26.44000000,11306697.95000000,304674251.84320000,363700
1639008000000,2021-12-09 00:00:00,DOT/USDT,29.85000000,30.13000000,26.80000000,26.90000000,9383772.00000000,264460990.28590000,322649
1638921600000,2021-12-08 00:00:00,DOT/USDT,30.49000000,30.63000000,28.02000000,29.84000000,10373073.12000000,303196296.97370000,358512
1638835200000,2021-12-07 00:00:00,DOT/USDT,28.12000000,31.49000000,27.69000000,30.50000000,13072414.91000000,384971841.13150000,523750
1638748800000,2021-12-06 00:00:00,DOT/USDT,28.31000000,28.92000000,24.84000000,28.13000000,16137260.41000000,430716088.79160000,533025
1638662400000,2021-12-05 00:00:00,DOT/USDT,29.38000000,29.74000000,26.33000000,28.31000000,11536652.53000000,323667386.27500000,397320
1638576000000,2021-12-04 00:00:00,DOT/USDT,33.70000000,33.86000000,24.35000000,29.38000000,24608037.90000000,700064729.26810000,946882
1638489600000,2021-12-03 00:00:00,DOT/USDT,35.76000000,36.84000000,32.56000000,33.70000000,9114532.42000000,317527763.29120000,450494
1638403200000,2021-12-02 00:00:00,DOT/USDT,36.76000000,36.79000000,35.05000000,35.75000000,5653240.06000000,202979098.73290000,308854
1638316800000,2021-12-01 00:00:00,DOT/USDT,37.96000000,38.78000000,36.22000000,36.76000000,6936636.91000000,261055768.32500000,385146
1638230400000,2021-11-30 00:00:00,DOT/USDT,37.10000000,39.35000000,35.28000000,37.95000000,9758902.60000000,365534586.85890000,633558
1638144000000,2021-11-29 00:00:00,DOT/USDT,35.75000000,37.53000000,35.40000000,37.10000000,7442054.72000000,270930920.94380000,417415
1638057600000,2021-11-28 00:00:00,DOT/USDT,35.16000000,35.85000000,32.21000000,35.76000000,10439305.23000000,353148799.11720000,406960
1637971200000,2021-11-27 00:00:00,DOT/USDT,34.55000000,36.12000000,34.43000000,35.16000000,6817533.23000000,240751573.55630000,272723
1637884800000,2021-11-26 00:00:00,DOT/USDT,39.48000000,39.62000000,33.67000000,34.56000000,16596267.73000000,595573466.43970000,731785
1637798400000,2021-11-25 00:00:00,DOT/USDT,38.27000000,40.93000000,38.04000000,39.47000000,7371944.97000000,291275670.02750000,420429
1637712000000,2021-11-24 00:00:00,DOT/USDT,40.76000000,40.92000000,38.04000000,38.28000000,7264687.01000000,284751411.11490000,387815
1637625600000,2021-11-23 00:00:00,DOT/USDT,39.48000000,41.47000000,38.54000000,40.78000000,6985881.02000000,278796802.92360000,402824
1637539200000,2021-11-22 00:00:00,DOT/USDT,41.95000000,42.16000000,38.80000000,39.49000000,8474290.45000000,340615758.34760000,462814
1637452800000,2021-11-21 00:00:00,DOT/USDT,42.09000000,43.56000000,40.64000000,41.94000000,6646315.92000000,278048692.57500000,522275
1637366400000,2021-11-20 00:00:00,DOT/USDT,41.23000000,42.10000000,39.83000000,42.10000000,5821401.36000000,239855623.26780000,392290
1637280000000,2021-11-19 00:00:00,DOT/USDT,39.03000000,42.28000000,38.36000000,41.24000000,8936329.85000000,359833271.32610000,624573
1637193600000,2021-11-18 00:00:00,DOT/USDT,42.75000000,43.27000000,37.53000000,39.03000000,14653376.83000000,588692131.89660000,856633
1637107200000,2021-11-17 00:00:00,DOT/USDT,40.84000000,42.78000000,38.76000000,42.75000000,11336082.44000000,461011878.43660000,789733
1637020800000,2021-11-16 00:00:00,DOT/USDT,44.78000000,44.78000000,38.10000000,40.84000000,19699792.90000000,819109093.74690000,1104386
1636934400000,2021-11-15 00:00:00,DOT/USDT,46.39000000,47.46000000,44.50000000,44.77000000,6580865.03000000,304443112.86680000,454265
1636848000000,2021-11-14 00:00:00,DOT/USDT,47.07000000,47.83000000,45.02000000,46.39000000,4667465.13000000,215921873.10910000,375059
1636761600000,2021-11-13 00:00:00,DOT/USDT,45.90000000,47.55000000,44.86000000,47.07000000,6068714.10000000,279926960.72470000,498287
1636675200000,2021-11-12 00:00:00,DOT/USDT,47.44000000,47.72000000,44.04000000,45.90000000,10700975.88000000,491599417.90780000,872012
1636588800000,2021-11-11 00:00:00,DOT/USDT,46.74000000,49.44000000,45.55000000,47.44000000,9323684.55000000,445829246.23230000,866544
1636502400000,2021-11-10 00:00:00,DOT/USDT,50.79000000,52.08000000,42.50000000,46.74000000,19625912.74000000,955283652.77330000,1301900
1636416000000,2021-11-09 00:00:00,DOT/USDT,53.36000000,53.39000000,50.52000000,50.78000000,10322506.13000000,536088035.35270000,687062
1636329600000,2021-11-08 00:00:00,DOT/USDT,52.22000000,53.87000000,51.63000000,53.36000000,7797418.81000000,412988422.60740000,549923
1636243200000,2021-11-07 00:00:00,DOT/USDT,52.03000000,53.53000000,51.29000000,52.22000000,7102199.25000000,372971989.08640000,581999
1636156800000,2021-11-06 00:00:00,DOT/USDT,51.75000000,52.42000000,49.00000000,52.02000000,8114011.78000000,411523728.38180000,650701
1636070400000,2021-11-05 00:00:00,DOT/USDT,53.83000000,53.93000000,50.56000000,51.76000000,8742278.80000000,454487603.34950000,712132
1635984000000,2021-11-04 00:00:00,DOT/USDT,53.35000000,55.09000000,52.16000000,53.82000000,14091354.81800000,752535110.92489800,1168396
1635897600000,2021-11-03 00:00:00,DOT/USDT,51.66000000,54.54000000,49.07000000,53.34000000,17237167.47000000,892383869.28269200,1681025
1635811200000,2021-11-02 00:00:00,DOT/USDT,49.98000000,53.35000000,48.01000000,51.66000000,19822814.52800000,1008388946.71802500,1679065
1635724800000,2021-11-01 00:00:00,DOT/USDT,42.78000000,51.57000000,41.70000000,49.98000000,23714028.21300000,1121822068.80107100,2616111
1635638400000,2021-10-31 00:00:00,DOT/USDT,42.73000000,43.36000000,41.01000000,42.77000000,6375433.77000000,268094221.56990000,390771
1635552000000,2021-10-30 00:00:00,DOT/USDT,44.19000000,44.31000000,42.08000000,42.73000000,5254551.32000000,226326757.55730000,339208
1635465600000,2021-10-29 00:00:00,DOT/USDT,41.82000000,44.35000000,41.56000000,44.20000000,8788034.21000000,379251608.69980000,560104
1635379200000,2021-10-28 00:00:00,DOT/USDT,40.43000000,43.12000000,39.81000000,41.82000000,11629300.38000000,486938116.69840000,726484
1635292800000,2021-10-27 00:00:00,DOT/USDT,44.93000000,45.77000000,38.70000000,40.44000000,17560562.15000000,738526790.56130000,1215968
1635206400000,2021-10-26 00:00:00,DOT/USDT,44.55000000,46.00000000,43.31000000,44.93000000,9161833.46000000,406675314.58520000,778131
1635120000000,2021-10-25 00:00:00,DOT/USDT,42.30000000,44.80000000,42.11000000,44.55000000,7291785.53000000,318759784.02630000,507703
1635033600000,2021-10-24 00:00:00,DOT/USDT,43.94000000,44.17000000,41.27000000,42.31000000,7260724.06000000,310356005.19920000,487576
1634947200000,2021-10-23 00:00:00,DOT/USDT,43.50000000,44.79000000,43.08000000,43.95000000,6138290.14000000,269684423.44780000,441867
1634860800000,2021-10-22 00:00:00,DOT/USDT,42.83000000,46.39000000,42.68000000,43.51000000,16062749.38000000,715523454.98632000,1241116
1634774400000,2021-10-21 00:00:00,DOT/USDT,44.41000000,45.53000000,41.91000000,42.84000000,14782015.91600000,646186612.18004700,1014715
1634688000000,2021-10-20 00:00:00,DOT/USDT,41.35000000,45.22000000,41.08000000,44.42000000,13310248.05300000,575094186.70469300,991320
1634601600000,2021-10-19 00:00:00,DOT/USDT,41.16000000,41.65000000,40.01000000,41.34000000,8843904.77000000,362263239.55870000,405631
1634515200000,2021-10-18 00:00:00,DOT/USDT,42.11000000,43.25000000,40.25000000,41.17000000,10911226.84000000,455982949.04260000,550249
1634428800000,2021-10-17 00:00:00,DOT/USDT,41.74000000,42.87000000,39.52000000,42.12000000,10386680.07000000,433074569.93680000,526261
1634342400000,2021-10-16 00:00:00,DOT/USDT,43.27000000,44.78000000,41.26000000,41.75000000,13673173.22900000,587677170.43715100,821141
1634256000000,2021-10-15 00:00:00,DOT/USDT,40.69000000,44.24000000,39.45000000,43.28000000,22085746.42600000,916993507.34561200,1533664
1634169600000,2021-10-14 00:00:00,DOT/USDT,41.69000000,42.54000000,39.33000000,40.71000000,20178003.61000000,827523963.60190000,1204347
1634083200000,2021-10-13 00:00:00,DOT/USDT,35.16000000,43.22000000,33.57000000,41.69000000,36492731.21300000,1421849266.39025900,2504028
1633996800000,2021-10-12 00:00:00,DOT/USDT,34.12000000,35.43000000,32.07000000,35.17000000,13326459.40000000,447030078.01770000,620021
1633910400000,2021-10-11 00:00:00,DOT/USDT,34.42000000,36.09000000,33.25000000,34.13000000,11467492.31000000,399306003.06630000,469155
1633824000000,2021-10-10 00:00:00,DOT/USDT,36.33000000,37.45000000,34.13000000,34.43000000,13147574.66000000,473745609.48130000,784594
1633737600000,2021-10-09 00:00:00,DOT/USDT,33.36000000,36.90000000,33.00000000,36.33000000,12546752.37000000,441329764.12360000,853574
1633651200000,2021-10-08 00:00:00,DOT/USDT,33.98000000,34.49000000,33.03000000,33.35000000,11134583.44000000,375707512.13650000,489045
1633564800000,2021-10-07 00:00:00,DOT/USDT,32.19000000,35.31000000,30.93000000,33.98000000,20356598.29000000,682316606.88330000,1286323
1633478400000,2021-10-06 00:00:00,DOT/USDT,31.39000000,33.09000000,29.11000000,32.19000000,14373589.09000000,448633539.30000000,704071
1633392000000,2021-10-05 00:00:00,DOT/USDT,31.15000000,32.16000000,30.52000000,31.39000000,8537858.77000000,268161491.12910000,374395
1633305600000,2021-10-04 00:00:00,DOT/USDT,32.10000000,32.11000000,30.04000000,31.15000000,9287969.05000000,288547980.66280000,414743
1633219200000,2021-10-03 00:00:00,DOT/USDT,32.01000000,32.69000000,31.17000000,32.11000000,7871434.22000000,252056591.14850000,350329
1633132800000,2021-10-02 00:00:00,DOT/USDT,31.94000000,33.39000000,31.52000000,32.01000000,8748363.88000000,283814409.55190000,522276
1633046400000,2021-10-01 00:00:00,DOT/USDT,28.61000000,32.33000000,28.50000000,31.94000000,13176348.21000000,402700970.64510000,735059
1632960000000,2021-09-30 00:00:00,DOT/USDT,27.28000000,28.99000000,27.13000000,28.62000000,8201551.44000000,230622998.43010000,339737
1632873600000,2021-09-29 00:00:00,DOT/USDT,26.31000000,28.59000000,26.11000000,27.28000000,10207287.33000000,280535376.37540000,376232
1632787200000,2021-09-28 00:00:00,DOT/USDT,27.72000000,28.38000000,26.14000000,26.31000000,9784154.53000000,267560973.68820000,362304
1632700800000,2021-09-27 00:00:00,DOT/USDT,28.84000000,30.26000000,27.50000000,27.71000000,11094418.10000000,320340017.82100000,449178
1632614400000,2021-09-26 00:00:00,DOT/USDT,29.83000000,30.06000000,26.76000000,28.84000000,18340714.24000000,525671091.00060000,701651
1632528000000,2021-09-25 00:00:00,DOT/USDT,30.79000000,32.22000000,29.41000000,29.82000000,13368526.84000000,409243879.47480000,617924
1632441600000,2021-09-24 00:00:00,DOT/USDT,33.42000000,33.54000000,27.90000000,30.79000000,28521525.89000000,867821691.51130000,1220851
1632355200000,2021-09-23 00:00:00,DOT/USDT,31.58000000,33.60000000,30.37000000,33.41000000,13516616.87000000,429208790.35590000,688802
1632268800000,2021-09-22 00:00:00,DOT/USDT,26.39000000,32.00000000,25.91000000,31.60000000,18161430.28000000,530262588.76890000,852355
1632182400000,2021-09-21 00:00:00,DOT/USDT,28.31000000,30.38000000,25.50000000,26.39000000,24316299.56000000,685120449.60780000,942973
1632096000000,2021-09-20 00:00:00,DOT/USDT,33.86000000,33.91000000,26.55000000,28.31000000,28383483.49000000,843311766.99830000,1183841
1632009600000,2021-09-19 00:00:00,DOT/USDT,34.86000000,34.90000000,33.01000000,33.85000000,7884331.02000000,267305492.05880000,411649
1631923200000,2021-09-18 00:00:00,DOT/USDT,33.04000000,35.90000000,32.51000000,34.87000000,9990438.88000000,347152604.88010000,508492
1631836800000,2021-09-17 00:00:00,DOT/USDT,35.51000000,36.94000000,32.19000000,33.03000000,14073919.00000000,486546805.55630000,776866
1631750400000,2021-09-16 00:00:00,DOT/USDT,36.46000000,36.97000000,34.00000000,35.50000000,13726309.35000000,484409459.94100000,601519
1631664000000,2021-09-15 00:00:00,DOT/USDT,37.35000000,38.01000000,35.55000000,36.47000000,12212842.72000000,446407140.69080000,579667
1631577600000,2021-09-14 00:00:00,DOT/USDT,34.84000000,38.77000000,34.08000000,37.36000000,23675929.09400000,871535388.40482800,1329447
1631491200000,2021-09-13 00:00:00,DOT/USDT,35.81000000,38.07000000,31.50000000,34.84000000,49715992.15200000,1749798444.35226600,2819337
1631404800000,2021-09-12 00:00:00,DOT/USDT,31.57000000,36.45000000,30.66000000,35.79000000,28871476.13000000,967608451.30354500,1825842
1631318400000,2021-09-11 00:00:00,DOT/USDT,29.18000000,32.10000000,28.25000000,31.57000000,15331069.56000000,464022098.37140000,776981
1631232000000,2021-09-10 00:00:00,DOT/USDT,29.82000000,32.65000000,28.00000000,29.19000000,27860740.96000000,847452024.90740000,1292621
1631145600000,2021-09-09 00:00:00,DOT/USDT,27.76000000,31.88000000,27.00000000,29.82000000,21170365.50000000,622867857.17740000,1032337
1631059200000,2021-09-08 00:00:00,DOT/USDT,27.97000000,28.88000000,25.20000000,27.76000000,23830480.97000000,655108735.09480000,927132
1630972800000,2021-09-07 00:00:00,DOT/USDT,34.35000000,35.68000000,22.66000000,27.97000000,40408249.41100000,1205391658.07487900,1820580
