unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,FIL/USDT,6.05000000,6.06000000,5.92000000,5.99000000,134365.27000000,804425.87820000,1690
1658188800000,2022-07-19 00:00:00,FIL/USDT,5.94000000,6.27000000,5.65000000,6.04000000,8471456.61000000,50280204.14400000,91957
1658102400000,2022-07-18 00:00:00,FIL/USDT,5.69000000,6.15000000,5.62000000,5.94000000,7912736.66000000,46467825.69440000,93116
1658016000000,2022-07-17 00:00:00,FIL/USDT,5.40000000,5.98000000,5.36000000,5.68000000,6026073.74000000,34025053.05990000,78439
1657929600000,2022-07-16 00:00:00,FIL/USDT,5.23000000,5.45000000,5.16000000,5.39000000,2645929.39000000,14036594.82730000,31207
1657843200000,2022-07-15 00:00:00,FIL/USDT,5.36000000,5.46000000,5.20000000,5.23000000,3462156.29000000,18570017.92790000,40736
1657756800000,2022-07-14 00:00:00,FIL/USDT,5.29000000,5.42000000,5.16000000,5.36000000,3282763.85000000,17335646.13620000,37057
1657670400000,2022-07-13 00:00:00,FIL/USDT,5.08000000,5.32000000,5.00000000,5.29000000,4970121.70000000,25679548.53340000,58392
1657584000000,2022-07-12 00:00:00,FIL/USDT,5.20000000,5.29000000,5.05000000,5.08000000,2305642.57000000,11962150.20440000,34476
1657497600000,2022-07-11 00:00:00,FIL/USDT,5.50000000,5.50000000,5.14000000,5.19000000,2958980.23000000,15772967.29200000,40726
1657411200000,2022-07-10 00:00:00,FIL/USDT,5.79000000,5.80000000,5.43000000,5.49000000,2373369.88000000,13230924.47190000,34060
1657324800000,2022-07-09 00:00:00,FIL/USDT,5.73000000,5.90000000,5.68000000,5.79000000,2294724.30000000,13303208.16180000,32892
1657238400000,2022-07-08 00:00:00,FIL/USDT,5.80000000,5.93000000,5.57000000,5.74000000,3344501.44000000,19172401.84680000,41977
1657152000000,2022-07-07 00:00:00,FIL/USDT,5.56000000,5.87000000,5.53000000,5.80000000,3082124.48000000,17546032.82980000,38873
1657065600000,2022-07-06 00:00:00,FIL/USDT,5.49000000,5.67000000,5.42000000,5.56000000,3062328.05000000,16922595.75460000,40686
1656979200000,2022-07-05 00:00:00,FIL/USDT,5.56000000,5.64000000,5.31000000,5.49000000,3825419.06000000,20990456.55560000,47865
1656892800000,2022-07-04 00:00:00,FIL/USDT,5.30000000,5.61000000,5.21000000,5.55000000,3007206.69000000,16233512.68360000,41454
1656806400000,2022-07-03 00:00:00,FIL/USDT,5.33000000,5.40000000,5.19000000,5.30000000,1943201.24000000,10257556.89900000,31505
1656720000000,2022-07-02 00:00:00,FIL/USDT,5.34000000,5.40000000,5.21000000,5.34000000,1557650.01000000,8266461.50330000,25537
1656633600000,2022-07-01 00:00:00,FIL/USDT,5.40000000,5.56000000,5.23000000,5.35000000,4020007.23000000,21562871.77790000,55446
1656547200000,2022-06-30 00:00:00,FIL/USDT,5.46000000,5.51000000,5.08000000,5.40000000,3818364.89000000,20037966.15450000,55205
1656460800000,2022-06-29 00:00:00,FIL/USDT,5.51000000,5.60000000,5.36000000,5.46000000,3006934.64000000,16479778.45900000,46076
1656374400000,2022-06-28 00:00:00,FIL/USDT,5.78000000,5.97000000,5.43000000,5.51000000,3263512.76000000,18668194.56640000,47450
1656288000000,2022-06-27 00:00:00,FIL/USDT,5.82000000,6.11000000,5.65000000,5.78000000,3092687.50000000,18173480.91820000,48220
1656201600000,2022-06-26 00:00:00,FIL/USDT,6.08000000,6.35000000,5.80000000,5.82000000,3018711.73000000,18371097.42180000,48032
1656115200000,2022-06-25 00:00:00,FIL/USDT,6.12000000,6.30000000,5.85000000,6.08000000,2674292.51000000,16232820.30470000,43350
1656028800000,2022-06-24 00:00:00,FIL/USDT,5.80000000,6.30000000,5.75000000,6.12000000,3575388.56000000,21413823.74740000,53840
1655942400000,2022-06-23 00:00:00,FIL/USDT,5.52000000,5.92000000,5.51000000,5.79000000,2887753.32000000,16585928.49190000,48317
1655856000000,2022-06-22 00:00:00,FIL/USDT,5.96000000,5.98000000,5.44000000,5.52000000,4202505.22000000,23756511.62260000,65850
1655769600000,2022-06-21 00:00:00,FIL/USDT,5.46000000,6.40000000,5.40000000,5.96000000,6135130.70000000,36455635.66830000,98448
1655683200000,2022-06-20 00:00:00,FIL/USDT,5.49000000,5.69000000,5.29000000,5.45000000,2880741.22000000,15773928.85560000,53688
1655596800000,2022-06-19 00:00:00,FIL/USDT,5.12000000,5.55000000,4.98000000,5.49000000,3494280.74000000,18340500.34430000,58669
1655510400000,2022-06-18 00:00:00,FIL/USDT,5.35000000,5.43000000,4.80000000,5.11000000,4388092.61000000,22365635.75800000,70328
1655424000000,2022-06-17 00:00:00,FIL/USDT,5.31000000,5.48000000,5.29000000,5.34000000,2055490.08000000,11067586.32340000,35113
1655337600000,2022-06-16 00:00:00,FIL/USDT,5.88000000,5.94000000,5.21000000,5.31000000,3476778.70000000,19207527.32600000,63129
1655251200000,2022-06-15 00:00:00,FIL/USDT,5.47000000,5.88000000,5.07000000,5.87000000,5341711.49000000,28649537.63720000,86745
1655164800000,2022-06-14 00:00:00,FIL/USDT,5.34000000,5.72000000,5.00000000,5.48000000,5068371.80000000,27508826.73930000,84064
1655078400000,2022-06-13 00:00:00,FIL/USDT,5.68000000,5.83000000,5.13000000,5.33000000,5581839.67000000,29986223.36620000,91949
1654992000000,2022-06-12 00:00:00,FIL/USDT,6.11000000,6.18000000,5.59000000,5.68000000,3637216.55000000,21398449.00500000,62592
1654905600000,2022-06-11 00:00:00,FIL/USDT,6.83000000,6.91000000,6.06000000,6.10000000,3314902.56000000,21283276.24390000,54095
1654819200000,2022-06-10 00:00:00,FIL/USDT,7.23000000,7.25000000,6.73000000,6.82000000,2494125.48000000,17455196.44530000,44802
1654732800000,2022-06-09 00:00:00,FIL/USDT,7.18000000,7.34000000,7.07000000,7.23000000,1750157.70000000,12631706.22970000,32326
1654646400000,2022-06-08 00:00:00,FIL/USDT,7.33000000,7.46000000,7.14000000,7.18000000,2478373.56000000,18044847.08000000,45926
1654560000000,2022-06-07 00:00:00,FIL/USDT,7.57000000,7.66000000,7.00000000,7.33000000,3626181.83000000,26464878.14330000,62265
1654473600000,2022-06-06 00:00:00,FIL/USDT,7.37000000,7.88000000,7.36000000,7.57000000,2421738.05000000,18503268.98730000,50036
1654387200000,2022-06-05 00:00:00,FIL/USDT,7.47000000,7.56000000,7.26000000,7.36000000,1308336.44000000,9693545.13870000,26821
1654300800000,2022-06-04 00:00:00,FIL/USDT,7.39000000,7.52000000,7.21000000,7.46000000,1090720.95000000,8038184.31790000,25666
1654214400000,2022-06-03 00:00:00,FIL/USDT,7.74000000,7.76000000,7.25000000,7.39000000,1948193.92000000,14541555.80020000,39526
1654128000000,2022-06-02 00:00:00,FIL/USDT,7.44000000,7.82000000,7.31000000,7.73000000,2481959.54000000,18659905.54470000,45988
1654041600000,2022-06-01 00:00:00,FIL/USDT,8.09000000,8.18000000,7.31000000,7.44000000,3823620.28000000,29868823.65560000,68052
1653955200000,2022-05-31 00:00:00,FIL/USDT,8.22000000,8.36000000,7.82000000,8.09000000,3792658.43000000,30707699.83120000,63875
1653868800000,2022-05-30 00:00:00,FIL/USDT,7.62000000,8.31000000,7.55000000,8.21000000,3508844.95000000,27978252.28270000,63431
1653782400000,2022-05-29 00:00:00,FIL/USDT,7.54000000,7.98000000,7.33000000,7.62000000,2006221.05000000,15159225.20930000,36789
1653696000000,2022-05-28 00:00:00,FIL/USDT,7.23000000,7.60000000,7.16000000,7.53000000,2022609.43000000,14943619.69370000,35722
1653609600000,2022-05-27 00:00:00,FIL/USDT,7.63000000,7.74000000,7.14000000,7.23000000,3953282.63000000,29461509.65910000,72829
1653523200000,2022-05-26 00:00:00,FIL/USDT,8.18000000,8.29000000,7.32000000,7.63000000,4330184.59000000,33729344.39460000,86885
1653436800000,2022-05-25 00:00:00,FIL/USDT,8.42000000,8.60000000,8.07000000,8.17000000,3461938.99000000,28714293.04790000,67296
1653350400000,2022-05-24 00:00:00,FIL/USDT,8.17000000,8.54000000,8.03000000,8.42000000,3915025.88000000,32612769.91110000,81327
1653264000000,2022-05-23 00:00:00,FIL/USDT,8.45000000,9.50000000,8.02000000,8.17000000,5622194.83000000,49134219.55840000,130839
1653177600000,2022-05-22 00:00:00,FIL/USDT,8.17000000,8.51000000,8.02000000,8.45000000,1814799.70000000,15064132.75250000,43541
1653091200000,2022-05-21 00:00:00,FIL/USDT,7.93000000,8.34000000,7.75000000,8.17000000,1865572.25000000,15010236.46220000,44115
1653004800000,2022-05-20 00:00:00,FIL/USDT,8.21000000,8.34000000,7.68000000,7.93000000,2228052.49000000,17978517.66940000,58902
1652918400000,2022-05-19 00:00:00,FIL/USDT,7.61000000,8.31000000,7.38000000,8.21000000,3622523.24000000,28526242.28000000,87769
1652832000000,2022-05-18 00:00:00,FIL/USDT,8.57000000,8.72000000,7.48000000,7.61000000,3188987.76000000,25735799.64560000,80073
1652745600000,2022-05-17 00:00:00,FIL/USDT,8.31000000,8.90000000,8.19000000,8.58000000,3046085.88000000,26037790.13130000,73865
1652659200000,2022-05-16 00:00:00,FIL/USDT,9.17000000,9.17000000,8.20000000,8.30000000,3268099.78000000,27815906.94830000,82837
1652572800000,2022-05-15 00:00:00,FIL/USDT,8.82000000,9.27000000,8.47000000,9.16000000,3149996.92000000,27740331.65150000,79640
1652486400000,2022-05-14 00:00:00,FIL/USDT,8.74000000,9.12000000,8.03000000,8.81000000,4254444.55000000,36545241.21150000,106378
1652400000000,2022-05-13 00:00:00,FIL/USDT,8.11000000,9.48000000,7.88000000,8.75000000,8475641.13000000,74428031.35920000,193299
1652313600000,2022-05-12 00:00:00,FIL/USDT,8.60000000,9.06000000,6.71000000,8.11000000,14215691.57000000,111143320.74960000,368620
1652227200000,2022-05-11 00:00:00,FIL/USDT,11.37000000,12.00000000,8.18000000,8.62000000,13342419.80000000,132094341.90205800,363175
1652140800000,2022-05-10 00:00:00,FIL/USDT,11.01000000,13.01000000,10.53000000,11.36000000,8908463.45000000,103636010.11940000,241186
1652054400000,2022-05-09 00:00:00,FIL/USDT,13.11000000,13.30000000,10.80000000,11.02000000,7985764.11000000,96271323.93510000,207417
1651968000000,2022-05-08 00:00:00,FIL/USDT,13.25000000,13.45000000,12.85000000,13.10000000,4180899.03000000,54943003.24210000,99252
1651881600000,2022-05-07 00:00:00,FIL/USDT,13.87000000,13.94000000,12.80000000,13.25000000,2971261.38000000,40285663.33170000,85800
1651795200000,2022-05-06 00:00:00,FIL/USDT,13.98000000,14.18000000,13.35000000,13.87000000,3793650.69000000,52186350.42560000,114584
1651708800000,2022-05-05 00:00:00,FIL/USDT,15.73000000,15.87000000,13.31000000,13.99000000,6707379.77000000,96878286.18000000,201872
1651622400000,2022-05-04 00:00:00,FIL/USDT,14.63000000,15.96000000,14.55000000,15.72000000,3867380.04000000,58186062.53600000,103663
1651536000000,2022-05-03 00:00:00,FIL/USDT,14.62000000,14.98000000,14.23000000,14.62000000,2628147.41000000,38578087.48830000,67536
1651449600000,2022-05-02 00:00:00,FIL/USDT,15.12000000,15.29000000,14.11000000,14.62000000,3993551.58000000,59254069.61920000,108957
1651363200000,2022-05-01 00:00:00,FIL/USDT,14.24000000,15.68000000,13.87000000,15.12000000,8518793.72000000,125735217.75050000,208949
1651276800000,2022-04-30 00:00:00,FIL/USDT,17.32000000,18.04000000,11.85000000,14.23000000,8392214.10000000,127488690.82590000,235606
1651190400000,2022-04-29 00:00:00,FIL/USDT,18.09000000,18.20000000,17.00000000,17.31000000,2764164.60000000,48335744.05690000,90301
1651104000000,2022-04-28 00:00:00,FIL/USDT,17.71000000,18.51000000,17.49000000,18.09000000,2689342.43000000,48215655.10700000,95870
1651017600000,2022-04-27 00:00:00,FIL/USDT,17.30000000,18.02000000,17.22000000,17.70000000,1893732.32000000,33447580.96710000,72349
1650931200000,2022-04-26 00:00:00,FIL/USDT,18.64000000,18.77000000,17.00000000,17.29000000,2774561.76000000,50011198.01140000,97349
1650844800000,2022-04-25 00:00:00,FIL/USDT,18.92000000,18.95000000,17.44000000,18.63000000,3841968.33000000,69688218.97560000,130477
1650758400000,2022-04-24 00:00:00,FIL/USDT,18.93000000,19.39000000,18.64000000,18.91000000,1815747.38000000,34533265.34100000,69996
1650672000000,2022-04-23 00:00:00,FIL/USDT,19.30000000,19.57000000,18.78000000,18.93000000,2218729.45000000,42567980.00640000,75360
1650585600000,2022-04-22 00:00:00,FIL/USDT,18.85000000,19.52000000,18.70000000,19.29000000,2858403.97000000,54489852.38410000,102008
1650499200000,2022-04-21 00:00:00,FIL/USDT,19.61000000,20.26000000,18.50000000,18.85000000,3825308.00000000,75066390.64760000,141517
1650412800000,2022-04-20 00:00:00,FIL/USDT,20.42000000,20.72000000,19.38000000,19.61000000,3597326.57000000,72064771.72590000,123915
1650326400000,2022-04-19 00:00:00,FIL/USDT,19.63000000,21.17000000,19.38000000,20.42000000,3645269.28000000,73372954.20210000,138117
1650240000000,2022-04-18 00:00:00,FIL/USDT,19.70000000,19.94000000,18.43000000,19.63000000,3998429.03000000,76696274.01030000,173187
1650153600000,2022-04-17 00:00:00,FIL/USDT,21.67000000,21.80000000,19.56000000,19.70000000,4512968.88000000,94162460.68670000,184486
1650067200000,2022-04-16 00:00:00,FIL/USDT,19.05000000,22.15000000,18.86000000,21.66000000,3587451.86000000,73355848.68600000,158540
1649980800000,2022-04-15 00:00:00,FIL/USDT,18.69000000,19.21000000,18.66000000,19.05000000,1268736.26000000,24057042.12610000,60221
1649894400000,2022-04-14 00:00:00,FIL/USDT,19.41000000,19.79000000,18.45000000,18.68000000,1927347.81000000,36881312.90620000,81064
1649808000000,2022-04-13 00:00:00,FIL/USDT,19.45000000,19.58000000,18.73000000,19.40000000,1806692.16000000,34802916.62970000,78731
1649721600000,2022-04-12 00:00:00,FIL/USDT,18.31000000,19.71000000,18.27000000,19.45000000,2974722.99000000,56532197.37530000,121940
1649635200000,2022-04-11 00:00:00,FIL/USDT,21.02000000,21.07000000,18.00000000,18.31000000,3817296.03000000,73966299.09930000,152681
1649548800000,2022-04-10 00:00:00,FIL/USDT,21.71000000,21.85000000,20.81000000,21.02000000,1593516.59000000,34139886.52580000,63228
1649462400000,2022-04-09 00:00:00,FIL/USDT,21.30000000,21.75000000,21.15000000,21.72000000,1550621.07000000,33330713.95640000,61469
1649376000000,2022-04-08 00:00:00,FIL/USDT,22.47000000,22.94000000,21.00000000,21.31000000,3529234.59000000,78073913.07830000,133718
1649289600000,2022-04-07 00:00:00,FIL/USDT,21.75000000,22.70000000,21.42000000,22.47000000,3415609.24000000,75686389.72770000,129435
1649203200000,2022-04-06 00:00:00,FIL/USDT,24.89000000,24.90000000,21.54000000,21.75000000,5895792.15000000,139002676.17730000,251844
1649116800000,2022-04-05 00:00:00,FIL/USDT,25.26000000,26.57000000,24.51000000,24.88000000,6633568.72000000,170086807.59470000,286803
1649030400000,2022-04-04 00:00:00,FIL/USDT,25.43000000,25.77000000,23.65000000,25.25000000,4759506.64000000,118712358.06340000,202782
1648944000000,2022-04-03 00:00:00,FIL/USDT,23.94000000,25.89000000,23.60000000,25.43000000,3885301.71000000,96392083.02080000,163774
1648857600000,2022-04-02 00:00:00,FIL/USDT,25.52000000,26.76000000,23.75000000,23.94000000,4579299.81000000,115989755.89690000,217890
1648771200000,2022-04-01 00:00:00,FIL/USDT,24.46000000,26.16000000,22.89000000,25.53000000,6112821.89000000,147611402.26070000,261972
1648684800000,2022-03-31 00:00:00,FIL/USDT,25.90000000,27.55000000,24.05000000,24.45000000,6640586.86000000,169309617.33760000,293187
1648598400000,2022-03-30 00:00:00,FIL/USDT,26.36000000,26.60000000,24.70000000,25.90000000,5743426.76000000,148219286.38850000,265427
1648512000000,2022-03-29 00:00:00,FIL/USDT,25.31000000,28.15000000,24.88000000,26.36000000,10608415.13000000,280847646.09660000,503808
1648425600000,2022-03-28 00:00:00,FIL/USDT,23.69000000,27.85000000,23.45000000,25.31000000,16392389.06000000,413944676.51600000,770426
1648339200000,2022-03-27 00:00:00,FIL/USDT,19.43000000,24.10000000,18.92000000,23.70000000,7884627.76000000,169033071.84440000,337753
1648252800000,2022-03-26 00:00:00,FIL/USDT,18.84000000,19.45000000,18.63000000,19.43000000,1333797.04000000,25290348.80030000,54524
1648166400000,2022-03-25 00:00:00,FIL/USDT,19.60000000,19.69000000,18.36000000,18.84000000,2369371.20000000,45458368.05570000,92760
1648080000000,2022-03-24 00:00:00,FIL/USDT,19.33000000,19.83000000,18.90000000,19.61000000,3115234.95000000,60399816.49100000,116598
1647993600000,2022-03-23 00:00:00,FIL/USDT,18.30000000,19.64000000,18.28000000,19.33000000,3646378.01000000,69518697.48670000,137193
1647907200000,2022-03-22 00:00:00,FIL/USDT,17.83000000,18.70000000,17.75000000,18.30000000,2249679.19000000,41187566.98000000,89352
1647820800000,2022-03-21 00:00:00,FIL/USDT,17.65000000,17.99000000,17.34000000,17.83000000,1424116.17000000,25257495.00360000,53527
1647734400000,2022-03-20 00:00:00,FIL/USDT,18.22000000,18.29000000,17.21000000,17.64000000,1600180.37000000,28479496.75980000,61752
1647648000000,2022-03-19 00:00:00,FIL/USDT,17.61000000,18.40000000,17.56000000,18.21000000,1890958.07000000,34076001.12000000,76681
1647561600000,2022-03-18 00:00:00,FIL/USDT,17.44000000,17.84000000,17.08000000,17.61000000,1319665.72000000,22956526.92800000,47922
1647475200000,2022-03-17 00:00:00,FIL/USDT,17.43000000,17.80000000,17.23000000,17.43000000,1211744.76000000,21209450.74760000,43770
1647388800000,2022-03-16 00:00:00,FIL/USDT,16.81000000,17.50000000,16.73000000,17.42000000,1913267.23000000,32700661.09100000,72786
1647302400000,2022-03-15 00:00:00,FIL/USDT,17.46000000,17.51000000,16.50000000,16.80000000,1609681.89000000,27162021.27460000,63844
1647216000000,2022-03-14 00:00:00,FIL/USDT,17.25000000,17.70000000,17.06000000,17.46000000,1038261.16000000,18027382.46040000,43129
1647129600000,2022-03-13 00:00:00,FIL/USDT,17.72000000,18.07000000,17.03000000,17.24000000,1002205.46000000,17705076.29270000,43587
1647043200000,2022-03-12 00:00:00,FIL/USDT,17.37000000,19.38000000,17.33000000,17.71000000,1691759.90000000,30574764.77110000,76122
1646956800000,2022-03-11 00:00:00,FIL/USDT,17.90000000,18.06000000,17.16000000,17.37000000,1238992.44000000,21823244.15690000,54855
1646870400000,2022-03-10 00:00:00,FIL/USDT,18.83000000,18.87000000,17.31000000,17.89000000,1863671.05000000,33327336.84810000,87169
1646784000000,2022-03-09 00:00:00,FIL/USDT,18.03000000,19.28000000,17.96000000,18.82000000,1976844.49000000,36929514.70660000,76603
1646697600000,2022-03-08 00:00:00,FIL/USDT,17.83000000,18.33000000,17.67000000,18.03000000,1666545.81000000,30028488.97520000,63265
1646611200000,2022-03-07 00:00:00,FIL/USDT,18.46000000,18.91000000,17.11000000,17.82000000,2504046.92000000,45229818.87970000,98757
1646524800000,2022-03-06 00:00:00,FIL/USDT,19.09000000,19.29000000,18.33000000,18.45000000,1250798.80000000,23479213.81700000,49803
1646438400000,2022-03-05 00:00:00,FIL/USDT,18.82000000,19.23000000,18.25000000,19.09000000,1158437.18000000,21817127.60060000,50057
1646352000000,2022-03-04 00:00:00,FIL/USDT,20.13000000,20.30000000,18.47000000,18.81000000,2447686.82000000,47456432.76340000,98036
1646265600000,2022-03-03 00:00:00,FIL/USDT,20.75000000,20.97000000,19.54000000,20.13000000,1793049.50000000,36227681.31810000,71796
1646179200000,2022-03-02 00:00:00,FIL/USDT,20.97000000,21.68000000,20.20000000,20.74000000,2787048.44000000,58425429.19380000,135922
1646092800000,2022-03-01 00:00:00,FIL/USDT,21.70000000,22.28000000,20.52000000,20.96000000,3582499.02000000,76446367.69300000,148419
1646006400000,2022-02-28 00:00:00,FIL/USDT,20.37000000,21.94000000,19.70000000,21.70000000,4320671.67000000,89282936.30430000,178738
1645920000000,2022-02-27 00:00:00,FIL/USDT,19.06000000,21.35000000,18.40000000,20.36000000,4526069.09000000,91200112.81590000,201152
1645833600000,2022-02-26 00:00:00,FIL/USDT,18.93000000,19.47000000,18.53000000,19.06000000,1707971.22000000,32531896.63780000,72428
1645747200000,2022-02-25 00:00:00,FIL/USDT,18.43000000,19.21000000,18.10000000,18.93000000,2213789.51000000,41182164.71740000,99781
1645660800000,2022-02-24 00:00:00,FIL/USDT,18.45000000,18.87000000,16.73000000,18.43000000,4737448.72000000,83036873.28330000,201103
1645574400000,2022-02-23 00:00:00,FIL/USDT,19.18000000,19.61000000,18.41000000,18.45000000,2192827.20000000,41880265.43530000,84385
1645488000000,2022-02-22 00:00:00,FIL/USDT,18.63000000,19.25000000,18.05000000,19.17000000,3201322.13000000,59891084.98920000,111492
1645401600000,2022-02-21 00:00:00,FIL/USDT,19.80000000,20.48000000,18.51000000,18.63000000,3334156.89000000,65427976.28570000,123163
